Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A/1	F/11	F/12	G	NA	NT	No value	Not typable	O1	O1, O3, O6,O10	O10	O11	O12	O13	O14	O15	O15:O10:O14	O1:O3:O14	O1:O3:OII	O1:OII	O3	O3:O4	O3:O4:O13	O4	O4:O11	O4:O7:O11	O4:O9	O4:OII	O5	O6	O6:O10	O6:O12:O13:O14	O6:O12:O14	O6:O13:O14	O6:O14	O6:O9:O10:O4	O7	O7:O8	O8	O9	O9:O12	O9:O14	O:11	O:12	O:4	OII	ONT	P. aeruginosa	PA	no agglutinating	non serotypable	not typeable	6	2943	Total
879							2																																																2
880							1																																																1
881							2																																																2
882							3																																																3
883							20																																																20
884							2																																																2
885							2																																																2
886							1																																																1
887							1																																																1
888							1																																																1
889							1																																																1
890							4																																																4
891							1																																																1
892							1																																																1
893							2																																																2
894							1																																																1
895							1																																																1
896							1																																																1
897							2																																																2
898							1																																																1
899							1																																																1
900							3																																																3
901							2																																																2
902							1																																																1
903							1																																																1
904							1																																																1
905							5																																																5
906							1																																																1
907							1																																																1
908							2																																																2
909							1																																																1
910							2																																																2
911							1																																																1
912							1																																																1
913							1																																																1
914							1																																																1
915							2																																																2
916							1																																																1
917							1																																																1
918							7																																																7
919							1																																																1
920							1																																																1
921							1																																																1
922							1																																																1
923							1																																																1
924							1																																																1
925							1																																																1
926							4																																																4
927							1																																																1
928							1																																																1
929							2																																																2
930							2																																																2
931							5																																																5
932							1																																																1
933							1																																																1
934							3																																																3
935							1																																																1
936							2																																																2
937							3																																																3
938							4																																																4
959							1																																																1
966							2																																																2
967											1																																												1
968							1																																																1
970							3																	1																															4
971									1																																														1
972														1																																									1
977							1																																																1
1000							1																																																1
1003							1																																																1
1004							1																																																1
1005							1																																																1
1006							1																																																1
1007							2																																																2
1008							1																																																1
1009							4																																																4
1010							1																																																1
1011							5																																																5
1012							2																																																2
1013							1																																																1
1014							1																																																1
1015							1																																																1
1016							1																																																1
1017							1																																																1
1018							1																																																1
1020							5																																																5
1021							1																																																1
1024							1																																																1
1027							2																																																2
