Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A	B	C	Ib	NG	NST	NT	No value	P1.-	P1.12	P1.13	P1.14	P1.19	P1.7.10	P1.9	P2.22	P2.2a	P2.2b	P3.1	P3.14	P3.14,19	P3.15	P3.15,2.2a	P3.15,21	P3.19	P3.21	P3.22	P3.4	P3.4,21	P3.8,19	W	W-135	WII/III	b4	nt	nt, 1.16, nt	nt, p1.14, nt	nt, p1.15, nt	nt, p1.3, p1.6	nt, p1.9, nt	nt,14,nt	nt,nt,nt	nt,nt,p1.3	nt,nt,p1.9	nt,p.1.4,nt	nt,p1.13,nt	nt,p1.14,nt	nt,p1.16,nt	nt,p1.2,nt	nt,p1.3,nt	nt,p1.3,p1.6	nt,p1.4,nt	nt,p1.9,nt	p.1.19,p1.15,nt	p1.19, nt, nt	p1.19,nt,nt	p1.19,p1.15,nt	p1.5,nt,nt	p1.5,p1.2,nt	p1.7,nt,nt	y	1	1, 4	1,14	1,19	1W	1.14	1.7, 1.16, nt	1.7,1.16,nt	1.7,nt,nt	2	2, 10	2, 7	2A	2B	2C	2W	2a	2a,nt,nt	2b	2b, 4	2b,15	2b,16	2b/15	2c	2c, 4	3,14	3.1	3.14	3.15	3.22	4	4, 14, 21	4, 15	4, 21	4,10	4,10,1	4,14	4,15	4,21	4,7	4,7,14	4Z	4p,z	4.14	4.15	4.7	5	5, 12	5,nt,nt	6	7	7,17	7,19	7,8,19	8	8,1	8,10,19	8,19	8,19,22/23	8,9,10	8,9,22/23	9	10	11	12	14	14,15	14,16,19	14,19	14,19.	15	15,16	15,19	15,21	15,23	15,8	15/16	15?	15W	15wk	16	17	17,10	17,7	19	19,1	19,10	19,14	19,21	19,7	21	22	23	Total
12030								1																																																																																																																																																			1
12031								1																																																																																																																																																			1
12032								1																																																																																																																																																			1
12033								1																																																																																																																																																			1
12034								1																																																																																																																																																			1
12035								1																																																																																																																																																			1
12036																																																																																																																																		1																									1
12037								1																																																																																																																																																			1
12038								1																																																																																																																																																			1
12039								4																																																																																																																																																			4
12040								22																																																																																																																																																			22
12041								6																																																																																																																																																			6
12042								10																																																																																																																																																			10
12043								1																																																																																																																																																			1
12044								2																																																																																																																																																			2
12045								12																																																																																																																																																			12
12046								4																																																																																																																																																			4
12047								2																																																																																																																																																			2
12048								2																																																																																																																																																			2
12049								2																																																																																																																																																			2
12050								1																																																																																																																																																			1
12051								1																																																																																																																																																			1
12052								1																																																																																																																																																			1
12053								2																																																																																																																																																			2
12054							1																																																																																																																																																				1
12055							1	3																																																																																																																																																			4
12056							1																																																																																																																																																				1
12057							1																																																																																																																																																				1
12058							1	1																																																																																																																																																			2
12059							1	1																																																																																																																																																			2
12060							1	1																																																																																																																																																			2
12061							1																																																																																																																																																				1
12062							1																																																																																																																																																				1
12063							1	3																																																																																																																																																			4
12064							2	1																																																																																																																																																			3
12065							2																																																																																																																																																				2
12066							2																																																																																																																																																				2
12067							1																																																																																																																																																				1
12068							6																																																																																																																																																				6
12069								1																																																																																																																																																			1
12070							1	2																																																																																																																																																			3
12071							1																																																																																																																																																				1
12072							1																																																																																																																																																				1
12073							2	3																																																																																																																																																			5
12074							2	1																																																																																																																																																			3
12075								2																																																																																																																																																			2
12076								2																																																																																																																																																			2
12077								2																																																																																																																																																			2
12078								1																																																																																																																																																			1
12079								1																																																																																																																																																			1
12080								2																																																																																																																																																			2
12081								1																																																																																																																																																			1
12082								1																																																																																																																																																			1
12083								1																																																																																																																																																			1
12084								2																																																																																																																																																			2
12085								1																																																																																																																																																			1
12086								2																																																																																																																																																			2
12087								1																																																																																																																																																			1
12088								1																																																																																																																																																			1
12089								1																																																																																																																																																			1
12090								1																																																																																																																																																			1
12091								1																																																																																																																																																			1
12092								1																																																																																																																																																			1
12093								2																																																																																																																																																			2
12094								4																																																																																																																																																			4
12095								1																																																																																																																																																			1
12096								1																																																																																																																																																			1
12097								1																																																																																																																																																			1
12098								1																																																																																																																																																			1
12099								1																																																																																																																																																			1
12100								1																																																																																																																																																			1
12101								1																																																																																																																																																			1
12102								1																																																																																																																																																			1
12103								1																																																																																																																																																			1
12104								1																																																																																																																																																			1
12105								1																																																																																																																																																			1
12106								1																																																																																																																																																			1
12107								1																																																																																																																																																			1
12108								1																																																																																																																																																			1
12109								1																																																																																																																																																			1
12110								1																																																																																																																																																			1
12111								1																																																																																																																																																			1
12112								1																																																																																																																																																			1
12113								1																																																																																																																																																			1
12114								1																																																																																																																																																			1
12115								1																																																																																																																																																			1
12116								4																																																																																																																																																			4
12117								1																																																																																																																																																			1
12118								1																																																																																																																																																			1
12120								1																																																																																																																																																			1
12121								1																																																																																																																																																			1
12122								1																																																																																																																																																			1
12123								2																																																																																																																																																			2
12124								1																																																																																																																																																			1
12125								1																																																																																																																																																			1
12126								1																																																																																																																																																			1
12127								1																																																																																																																																																			1
12128								1																																																																																																																																																			1
12129								1																																																																																																																																																			1
12130								1																																																																																																																																																			1
12131								1																																																																																																																																																			1
12132								1																																																																																																																																																			1
12133								1																																																																																																																																																			1
12135								1																																																																																																																																																			1
12136								1																																																																																																																																																			1
12137							1																																																																																																																																																				1
12138							1																																																																																																																																																				1
12139								2																																																																																																																																																			2
12140							1																																																																																																																																																				1
12141							2																																																																																																																																																				2
12142							1																																																																																																																																																				1
12143							1																																																																																																																																																				1
12144							1																																																																																																																																																				1
12145							1																																																																																																																																																				1
12146							2																																																																																																																																																				2
12147							2																																																																																																																																																				2
12148							3																																																																																																																																																				3
12149							1																																																																																																																																																				1
12150							1																																																																																																																																																				1
12151							1	1																																																																																																																																																			2
12152							2																																																																																																																																																				2
12153							4																																																																																																																																																				4
12154							1																																																																																																																																																				1
12155							1																																																																																																																																																				1
12156							2																																																																																																																																																				2
12157							1																																																																																																																																																				1
12158							2	2																																																																																																																																																			4
12159							1																																																																																																																																																				1
12160								1																																																																																																																																																			1
12161							1																																																																																																																																																				1
12162							1																																																																																																																																																				1
12163							1	1																																																																																																																																																			2
12164							2																																																																																																																																																				2
12165							2																																																																																																																																																				2
12166							2																																																																																																																																																				2
12167							2																																																																																																																																																				2
12168							2																																																																																																																																																				2
12169							2																																																																																																																																																				2
12170							1	1																																																																																																																																																			2
12171							2																																																																																																																																																				2
12172							1																																																																																																																																																				1
12173								2																																																																																																																																																			2
12174								1																																																																																																																																																			1
12175								1																																																																																																																																																			1
12176							1	9																																																																																																																																																			10
12177								1																																																																																																																																																			1
12178								2																																																																																																																																																			2
12179								1																																																																																																																																																			1
12180								2																																																																																																																																																			2
12182								1																																																																																																																																																			1
12183								1																																																																																																																																																			1
12184								1																																																																																																																																																			1
12185								1																																																																																																																																																			1
12186								1																																																																																																																																																			1
12187								1																																																																																																																																																			1
12188								2																																																																																																																																																			2
12189								1																																																																																																																																																			1
12190								19																																																																																																																																																			19
12193								1																																																																																																																																																			1
12194								1																																																																																																																																																			1
12208								1																																																																																																																																																			1
12212								1																																																																																																																																																			1
12213								1																																																																																																																																																			1
12214								2																																																																																																																																																			2
12215								1																																																																																																																																																			1
12216							1	1																																																																																																																																																			2
12217							1																																																																																																																																																				1
12218							1																																																																																																																																																				1
12219							4	15																																																																																																																																																			19
12220							1																																																																																																																																																				1
12221							1																																																																																																																																																				1
12222							1																																																																																																																																																				1
12223							1																																																																																																																																																				1
12224								1																																																																																																																																																			1
12225							1																																																																																																																																																				1
12226								1																																																																																																																																																			1
12227								6																																																																																																																																																			6
12228							1	1																																																																																																																																																			2
12229							1																																																																																																																																																				1
12230							1																																																																																																																																																				1
12231							1	2																																																																																																																																																			3
12232							1																																																																																																																																																				1
12233							1																																																																																																																																																				1
12234							1																																																																																																																																																				1
12235							1	1																																																																																																																																																			2
12236								1																																																																																																																																																			1
12237								1																																																																																																																																																			1
12238								1																																																																																																																																																			1
12239								1																																																																																																																																																			1
12240								2																																																																																																																																																			2
12241								3																																																																																																																																																			3
12242								1																																																																																																																																																			1
12243								1																																																																																																																																																			1
12244								1																																																																																																																																																			1
12245								2																																																																																																																																																			2
12246								2																																																																																																																																																			2
12247								2																																																																																																																																																			2
12248								1																																																																																																																																																			1
12249								1																																																																																																																																																			1
12250								2																																																																																																																																																			2
12251								1																																																																																																																																																			1
12252								1																																																																																																																																																			1
12253								1																																																																																																																																																			1
12254								1																																																																																																																																																			1
12255								1																																																																																																																																																			1
12256								2																																																																																																																																																			2
12257								1																																																																																																																																																			1
12258								1																																																																																																																																																			1
12259								2																																																																																																																																																			2
12260								1																																																																																																																																																			1
12261								1																																																																																																																																																			1
12262								1																																																																																																																																																			1
12263								1																																																																																																																																																			1
12264								1																																																																																																																																																			1
12265								1																																																																																																																																																			1
12266								1																																																																																																																																																			1
12267								1																																																																																																																										1																									2
12268								1																																																																																																																																																			1
12269								1																																																																																																																																																			1
12270								1																																																																																																																																																			1
12271								1																																																																																																																																																			1
12272								2																																																																																																																																																			2
12273								2																																																																																																																																																			2
12274								2																																																																																																																																																			2
12275								1																																																																																																																																																			1
12276								5																																																																																																																																																			5
12277								1																																																																																																																																																			1
12278								1																																																																																																																																																			1
12279								1																																																																																																																																																			1
12280								1																																																																																																																																																			1
12281								1																																																																																																																																																			1
12282								1																																																																																																																																																			1
12283								1																																																																																																																																																			1
12284								1																																																																																																																																																			1
12285								1																																																																																																																																																			1
12286								1																																																																																																																																																			1
12287								1																																																																																																																																																			1
12288								1																																																																																																																																																			1
12289								1																																																																																																																																																			1
12290								1																																																																																																																																																			1
12291								1																																																																																																																																																			1
12292								1																																																																																																																																																			1
12293								1																																																																																																																																																			1
12294								1																																																																																																																																																			1
12295								1																																																																																																																																																			1
12296								1																																																																																																																																																			1
12297								1																																																																																																																																																			1
12298								1																																																																																																																																																			1
12299								1																																																																																																																																																			1
12300								2																																																																																																																																																			2
12301								2																																																																																																																																																			2
12302								1																																																																																																																																																			1
12303								2																																																																																																																																																			2
12304								1																																																																																																																																																			1
12305								2																																																																																																																																																			2
12306								2																																																																																																																																																			2
12307								1																																																																																																																																																			1
12308								1																																																																																																																																																			1
12309								1																																																																																																																																																			1
12310								1																																																																																																																																																			1
12311								2																																																																																																																																																			2
12312								1																																																																																																																																																			1
12313								2																																																																																																																																																			2
12314								1																																																																																																																																																			1
12315								1																																																																																																																																																			1
12316								2																																																																																																																																																			2
12317								2																																																																																																																																																			2
12318								1																																																																																																																																																			1
12319								1																																																																																																																																																			1
12320								2																																																																																																																																																			2
12321								3																																																																																																																																																			3
12322								2																																																																																																																																																			2
12323								2																																																																																																																																																			2
12324								2																																																																																																																																																			2
12325								2																																																																																																																																																			2
12326								1																																																																																																																																																			1
