Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	Abaetetuba	Aberdeen	Abony	Abortusequi	Abortusovis	Adelaide	Aderike	Agama	Agbeni	Ago	Agona	Ajiobo	Alachua	Albany	Altona	Amsterdam	Anatum	Anecho	Apapa	Arechavaleta	Ashford	Augustenborg	Baguida	Baildon	Bareilly	Berta	Binza	Blockley	Bonariensis	Bovismorbificans	Braenderup	Brandenburg	Brazzaville	Bredeney	Brunei	Caracas	Carmel	Carno	Carrau	Carshalton	Cerro	Charity	Chester	Choleraesuis	Coeln	Colchester	Coleypark	Colindale	Concord	CoppettsWood	Cork	Corvallis	Cotham	Cubana	Curacao	Derby	Dublin	Durham	Ealing	Eastbourne	Edinburg	Eimsbuettel	Emek	Enteritidis	Farsta	Florida	Fluntern	Frimley	Gafsa	Galiema	Gallinarum	Gaminara	Give	Glostrup	Goelzau	Gold coast	Goodmayes	Goverdhan	Hadar	Haifa	Harrow	Hartford	Havana	Heidelberg	Herston	Hull	Hvittingfoss	Idikan	Indiana	Inganda	Inverness	Ipswich	Irumu	Isangi	Java	Javiana	Jedburgh	Johannesburg	Kentucky	Kenya	Kiambu	Kibusi	Kingslynn	Kingston	Kintambo	Kisangani	Kisarawe	Kottbus	Kua	Labadi	Lagos	Lexington	Lika	Lille	Lingwala	Litchfield	Livingstone	Lomalinda	London	Maastricht	Manhattan	Maritzburg	Martonos	Matadi	Maybush	Mbandaka	Meleagridis	Mgulani	Miami	Mikawasima	Minnesota	Mississippi	Monschaui	Montevideo	Muenchen	Muenster	Naestved	Namur	Napoli	Nchanga	Newport	Newport I	Newport II	Newport III	Nima	Norwich	Nottingham	Oakland	Ohio	Oranienburg	Orientalis	Orion	Oslo	Panama	Paratyphi A	Paratyphi B	Paratyphi BI	Paratyphi BII	Paratyphi BIII	Paratyphi BIV	Paratyphi C	Pomona	Poole	Poona	Pullorum	Ramatgan	Reading	Richmond	Ridge	Rissen	Rubislaw	Saintpaul	Sandbanks	Sandiego	Schwarzengrund	Senftenberg	Singapore	Sloterdijk	Soerenga	Stafford	Stanley	Stanleyville	Sundsvall	Szentes	Tallahassee	Teko	Tennessee	Thompson	Tomegbe	Torbay	Treforest	Tucson	Typhi	Typhimurium	Typhisuis	Uganda	Umbilo	Urbana	Vejle	Virchow	Vitkin	Wandsworth	Wangata	Weltevreden	Welwyn	Weslaco	Westhampton	Worthington	Zanzibar	other	unknown	Infantis	Total
3292																																																																																																																																																																																																																			1		1
3295																																																																																																																																																																																																							1														1
3296																																									1																																																																																																																																																																												1
3297																																																																																																																																																																																																																			1		1
3298																																																																																																																																																																																																																			1		1
3299																					1																																																																																																																																																																																														1		2
3300																																																																																																																																																																																																																			1		1
3301																																																																																																																																																																																																																			1		1
3302																																																																																																																																																																																																																			1		1
3303																																																																																																																																																																																																																			1		1
3304																																																																57																																																																																																																																																					57
3310																																																																																																																																																																																																																			1		1
3311																																																																																																																																																																																																																			1		1
3313																																																																																																																																																																																																																			1		1
3315																																																																																																																																																																																																																		7	2		9
3320																																																																																																																																																																																																																			1		1
3321																																																																2																																																																																																																																																					2
3322																																																																																																																																																																																																																		1			1
3323																																																																																																																																																																																																																		1			1
3324																																																																																																																																																																																																																			1		1
3326																																																																																																																																																																																																																			1		1
3327																																																																																																																																																																																																																		1			1
3330																																																																																																																																																																																																																			1		1
3333																																																																																																																																																																																																																		1	1		2
3335																																																																																																																																																																																																																			1		1
3343																																																																																																																																																																																																		1																			1
3347																																																																3																																																																																																																																																					3
3348																																																																2																																																																																																																																																					2
3356																																																																																																																																																																																																																		1			1
3370																																																																																																																																																																																																																		1	2		3
3371																																																																																																																																																																																																																		1			1
3372																																																																																																																																																																																																																		1			1
3373																																																																																																																																																																																																																		6			6
3374																																																																																																																																																																																																																		1			1
3379																																																																																																																																																																																																																		6			6
3380																																																																																																																																																																																																																		4			4
3381																																																																																																																																																																																																																		1			1
3382																																																																																																																																																																																																																		2			2
3383																																																																																																																																																																																																																		3	1		4
3395																																																																																																																																																																																																																		1			1
3402																																																																																																																																																																																																																		1			1
3403																																																																																																																																																																																																																		1			1
3416																																																																																																																																																																																																																		1			1
3422																																																																																																																																																																																																																		1			1
3423																																																																																																																																																																																																																		1			1
3425																																																																																																																																																																																																																			2		2
3435																																																																																																																																																																																																																		1			1
3436																																																																															1																																																																																																																																						1
3439																																																																																																																																																																																																																		1			1
3440																																																																																																																																				1																																																																																	1
3443																																																																																																																																																																																																																			1		1
3452																																																																																																																																																																																																																		9	2		11
3453																																																																																																																																																																																																																		1			1
3454																																																																																																																																																																																																																		1			1
3457																																																																																																																																																																																																																		3	3		6
3459																																																																																																																																																																																																																		2			2
3461																																																																																																																																																																																																																		2			2
3462																																																																																																																																																																																																																		5			5
3482																																																																																																																																																																																																																		3			3
3485																																																																																																																																																																																																																		1			1
3500																																																																																																																																																																																																																		1			1
3503																																																																																																																																																																																																																			2		2
3510																																																																																																																																																																																																																			1		1
3522																																																																																																																																																																																																																		1			1
3530																																																																																																																																																																																																																		2			2
3549																																																																																																																																																																																																																		2			2
3554																																																																																																																																																																																																																		2			2
3556																																																																																																																																																																																																																		1			1
3561																																																																																																																																																																																																																		1			1
3564																																																																																																																																																																																																																		1			1
3565																																																																																																																																																																																																																		1			1
3568																																																																																																																																																																																																																		1			1
3570																																																																																																																																																																																																																		1			1
3573																																																																																																																																																																																																																		2			2
3578																																																																																																																																																																																																																		1			1
3583																																																																1																																																																																																																																																					1
3595																																																																																																																																																																																																																		2			2
3614																																																																																																																																																																																																																		2			2
3616																																																																																																																																																																																																																		2			2
3617																																																																																																																																																																																																																		3			3
3629																																																																																																																																																																																																																		2			2
3638																																																																																																																																																																																																																		1			1
3639																																																																																																																																																																																																																		1			1
3640																																																																																																																																																																																																																		1			1
3641																																																																																																																																																																																																																		1			1
3642																																																																																																																																																																																																																		1			1
3643																																																																																																																																																																																																																		1			1
3653																																																																																																																																																																																																																		1			1
3706																																																																																																																																																																																																																		1			1
3711																																																																																																																																																																																																																		1			1
3712																																																																																																																																																																																																																		1			1
3714																																																																																																																																																																																																																		1			1
3731																																																																																																																																																																																																																		1			1
3733																																																																1																																																																																																																																																					1
3744																																																																																																																																																																																																																		1			1
3745																																																																																																																																																																																																																		1			1
3767																																																																																																																																																																																																																		1			1
3773																									1																																																																																																																																																																																												1
3778																																																																																																																																																																																																																		1			1
3792																																																																																																																																																																																																																		1			1
3794																																																																																																																																																																																																																		1			1
3799																																																																																																																																																																																																																		1			1
3808																																																																																																																																																																																																																		1			1
3812																																																																																																																																																																																																																		1			1
3813																																																																																																																																																																																																																		1			1
3814																																																																																																																																																																																																																		1			1
3820																																																																																																																																																																																																																		1			1
3823																																																																																																																																																																																																																		1	1		2
3827																																																																																																																																																																																																																		1			1
3829																																																																																																																																																																																																																		1			1
3837																																																																																																																																																																																																																		1			1
3849																																																																																																																																																																																																																			1		1
3853																																																																																																																																																																																																																		1			1
3856																																																																																																																																																																																																																		1			1
3862																																																																																																																																																																																																																		1	1		2
3869																																																																																																																																																																																																																		1			1
3874																																																																																																																																																																																																																		1	1		2
3877																																																																1																																																																																																																																																					1
3878																																																																																																																																																																																																																		1			1
3896																																																																																																																																																																																																																		2			2
3901																																																																																																																																																																																																																		1			1
3904																																																																																																																																																																																																																			2		2
3906																																																																																																																																																																																																																		1			1
3907																																																																1																																																																																																																																																					1
3909																																																																																																																																																																																																																		1			1
3910																																																																																																																																																																																																																		1			1
3911																																																																																																																																																																																																																		1			1
3913																																																																																																																																																																																																																		1			1
3914																																																																																																																																																																																																																		2	1		3
3915																																																																																																																																																																																																																		1			1
3916																																																																																																																																																																																																																		1	1		2
3917																																																																																																																																																																																																																		1			1
3919																																																																																																																																																																																																																		1			1
3921																																																																																																																																																																																																																		1			1
3922																																																																																																																																																																																																																		1			1
3923																																																																																																																																																																																																																			1		1
3924																																																																																																																																																																																																																			2		2
3925																																																																																																																																																																																																																		1			1
3926																																																																																																																																																																																																																		1			1
3927																																																																																																																																																																1																																																					1
3930																																																																																																																																																																																																																		1			1
3931																																																																																																																																																																																																																		1			1
3933																																																																																																																																																																																																																		1			1
3940																																																																																																																																																																																																																		1			1
3942																																																																																																																																																																																																																		1	1		2
3945																																																																																																																																																																																																																		1			1
3954																																																																																																																																																																																																																		1			1
3959																																																																																																																																																																																																																		1			1
3992																																																																																																																																																																																																																		1	1		2
3996																																																																																																																																																																																																																		2	3		5
3998																																																																																																																																																																																																																		1			1
4002																																																																																																																																																																																																																		4			4
4003																																																																																																																																																																																																																		1			1
4004																																																																																																																																																																																																																		1			1
4015																																																																																																																																																																																																																		1			1
4029																																																																																																																																																																																																																		1			1
4062																																																																																																																																																																																																																		1			1
4066																																																																																																																																																																																																																		1			1
4086																																																																																																																																																																																																																		1	2		3
4092																																																																																																																																																																																																																		1			1
4164																																																																																																																																																																																																																		1			1
4169																																																																																																																																																																																																																		1			1
4177																																																																																																																																																																																																																		1			1
4213																																																																																																																																																																																																																		1			1
4222																																																																																																																																																																																																																		1			1
4278																																																																																																																																																																																																																			1		1
4289																																																																																																																																																																																																																		1			1
4308																																																																																																																																																																																																																		1			1
4335																																																																																																																																																																																																																		1			1
4336																																																																																																																																																																																																																			2		2
4337																																																																																																																																																																																																																		2			2
4339																																																																																																																																																																																																																			1		1
4340																																																																																																																																																																																																																			1		1
4341																																																																																																																																																																																																																			2		2
4342																																																																																																																																																																																																																		1			1
4343																																																																																																																																																																																																																			1		1
4344																																																																																																																																																																																																																		2			2
4345																																																																																																																																																																																																																			1		1
4367																																																																																																																																																																																																																		1			1
4369																																																																																																																																																																																																																		1			1
4374																																																																																																																																																																																																																			1		1
4392																																																																																																																																																																																																																		1	1		2
4393																																																																																																																																																																																																																		2	1		3
4394																																																																																																																																																																																																																			1		1
4395																																																																																																																																																																																																																			1		1
4396																																																																																																																																																																																																																			1		1
4397																																																																																																																																																																																																																		2			2
4398																																																																																																																																																																																																																			1		1
4399																																																																																																																																																																																																																		1			1
4400																																																																																																																																																																																																																		1			1
4401																																																																																																																																																																																																																			1		1
4402																																																																																																																																																																																																																		3			3
4403																																																																																																																																																																																																																		1	1		2
4404																																																																1																																																																																																																																																			1		2
4406																																																									1																																																																																																																																																												1
4410																																																																																																																																																																																																																		1			1
4411																																																																																																																																																																																																																			1		1
4412																																																																																																																																																																																																																			1		1
4413																																																																																																																																																																																																																		2			2
4414																																																																																																																																																																																																																			2		2
4415																																																																																																																																																																																																																		1			1
4416																																																																																																																																																																																																																		2			2
4417																																																																																																																																																																																																																		1	1		2
4418																																																																																																																																																																																																																		3			3
4419																																																																																																																																																																																																																		1			1
