Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	Ccond  [O1]	Cdub 01	Cdub O1	Cdub O1a	Cdub O1b	Cdub O2	Cdub O4	Cmal O1	Cmal O2	Cmal O3	CmalO1CsakO4	CmalO2	Cmuyt O1	Cmuyt O2	Cmuyt O3	Csak O1	Csak O1'	Csak O2	Csak O2'	Csak O3	Csak O4	Csak O7	Csak O:1	CsakO1	CsakO2	CsakO3	CsakO7	Ctur O1	Ctur O2	Ctur O3	Ctur O4	Ctur O:1	Cuni O1	No value	Not found	O1	[Csak O5]	[Csak O6]	[Ctur O2]	Total
718																																		1						1
719																																		1						1
720																																		1						1
721																																		1						1
722																																		1						1
723																																		1						1
724																																		1						1
725																																		1						1
726																																		1						1
727																																		1						1
728																																		1						1
729																																		1						1
730																																		1						1
731																																		1						1
732																																		2						2
733																																		1						1
734																																		1						1
735																																		1						1
736																																		1						1
737																																		1						1
738																																		1						1
739																																		1						1
740																																		1						1
741																																		3						3
742																																		2						2
743																																		1						1
744																																		1						1
745																																		1						1
746																																		1						1
747																																		1						1
748																																		1						1
751																																		10						10
752																									1															1
753																								1																1
754																														1										1
755																																		1						1
756						1																																		1
757																																		1						1
758																																		1						1
759																																		1						1
760																																		1						1
761																																		1						1
Total	1	1	32	1	1	29	1	31	85	3	3	6	4	3	1	254	6	402	14	58	82	24	1	9	10	2	2	15	1	14	2	1	6	2054	35	7	4	3	1	3209

